checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,16,1,0.6843766570091248,0.6843766570091248,{0: 16},14.76
13000,26,2,0.7448632717132568,0.7314205169677734,"{0: 24, 1: 2}",12.37
23000,17,3,0.7666201591491699,0.7054997682571411,"{0: 13, 1: 3, 2: 1}",12.50
33000,17,3,0.7316518425941467,0.6964626312255859,"{0: 15, 2: 1, 1: 1}",12.71
43000,20,2,0.7175519466400146,0.7058472037315369,"{0: 19, 1: 1}",12.74
53000,21,1,0.691992461681366,0.691992461681366,{0: 21},12.69
63000,18,1,0.6776780486106873,0.6776780486106873,{0: 18},12.77
73000,16,1,0.6764982342720032,0.6764982342720032,{0: 16},12.74
83000,16,1,0.6510732769966125,0.6510732769966125,{0: 16},12.83
93000,12,1,0.6337411403656006,0.6337411403656006,{0: 12},12.75
103000,9,1,0.6421080231666565,0.6421080231666565,{0: 9},12.77
113000,10,1,0.6160210371017456,0.6160210371017456,{0: 10},12.79
123000,8,1,0.6058301329612732,0.6058301329612732,{0: 8},12.99
133000,7,1,0.6014513969421387,0.6014513969421387,{0: 7},12.81
143000,5,1,0.5679652094841003,0.5679652094841003,{0: 5},12.86
