checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,12,6,0.8345932960510254,0.5266915559768677,"{1: 2, 4: 3, 2: 3, 0: 2, 3: 1, 5: 1}",15.96
13000,12,5,0.8002268671989441,0.5934246778488159,"{0: 6, 1: 3, 3: 1, 4: 1, 2: 1}",12.24
23000,9,4,0.7900774478912354,0.6787173748016357,"{3: 1, 1: 2, 0: 5, 2: 1}",12.65
33000,11,3,0.7349081039428711,0.5595916509628296,"{0: 7, 2: 3, 1: 1}",12.51
43000,9,2,0.7088547945022583,0.5848082900047302,"{1: 3, 0: 6}",12.12
53000,9,3,0.7339106798171997,0.5589706897735596,"{0: 6, 2: 2, 1: 1}",12.92
63000,5,3,0.7707690596580505,0.5434755682945251,"{0: 3, 2: 1, 1: 1}",12.19
73000,7,3,0.6866552233695984,0.3116019368171692,"{1: 3, 2: 1, 0: 3}",12.10
83000,6,2,0.6601488590240479,0.5679488778114319,"{0: 5, 1: 1}",12.90
93000,10,2,0.44098907709121704,0.23552855849266052,"{1: 8, 0: 2}",12.16
103000,10,2,0.4410707354545593,0.23220671713352203,"{1: 8, 0: 2}",12.10
113000,8,1,0.33516937494277954,0.33516937494277954,{0: 8},12.45
123000,9,1,0.3406001329421997,0.3406001329421997,{0: 9},12.14
133000,9,1,0.3359937071800232,0.3359937071800232,{0: 9},12.10
143000,8,1,0.3326316177845001,0.3326316177845001,{0: 8},12.54
