checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,47,7,0.7545663714408875,0.5392575860023499,"{6: 15, 4: 1, 0: 3, 3: 20, 1: 2, 5: 2, 2: 4}",15.10
13000,77,6,0.7431153059005737,0.538901150226593,"{1: 46, 5: 6, 0: 13, 3: 2, 4: 1, 2: 9}",12.73
23000,54,3,0.6969017386436462,0.6202117800712585,"{1: 44, 2: 8, 0: 2}",13.28
33000,83,6,0.7281619310379028,0.5259150266647339,"{2: 48, 0: 2, 4: 1, 1: 17, 3: 1, 5: 14}",13.30
43000,71,6,0.7009228467941284,0.5403110980987549,"{1: 41, 5: 1, 2: 2, 3: 1, 0: 25, 4: 1}",13.30
53000,62,5,0.6712454557418823,0.3912525177001953,"{4: 34, 2: 1, 3: 1, 1: 14, 0: 12}",13.17
63000,19,3,0.7301381230354309,0.5838082432746887,"{2: 6, 0: 12, 1: 1}",13.29
73000,10,2,0.5145267248153687,0.43216148018836975,"{0: 9, 1: 1}",13.26
83000,12,2,0.5167850255966187,0.4578767716884613,"{0: 11, 1: 1}",13.34
93000,7,2,0.5775033235549927,0.2539471983909607,"{0: 4, 1: 3}",13.24
103000,16,2,0.5266319513320923,0.20933794975280762,"{0: 8, 1: 8}",13.30
113000,12,1,0.5197110176086426,0.5197110176086426,{0: 12},13.27
123000,12,1,0.5022018551826477,0.5022018551826477,{0: 12},13.36
133000,13,1,0.5304577946662903,0.5304577946662903,{0: 13},13.43
143000,7,2,0.5984914898872375,0.3233708441257477,"{0: 4, 1: 3}",13.63
