checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,6,2,0.6889156699180603,0.5269407629966736,"{1: 4, 0: 2}",25.88
13000,8,3,0.7676860094070435,0.6059523820877075,"{0: 5, 2: 2, 1: 1}",30.55
23000,2,2,1.0058282613754272,nan,"{1: 1, 0: 1}",39.43
33000,3,2,0.8323907852172852,0.7352783679962158,"{0: 2, 1: 1}",42.10
43000,2,1,0.799403190612793,0.799403190612793,{0: 2},65.91
53000,1,1,nan,nan,{0: 1},47.66
63000,2,2,0.8670389652252197,nan,"{1: 1, 0: 1}",51.28
