checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,51,5,0.7309199571609497,0.5544455647468567,"{2: 33, 4: 6, 0: 8, 1: 3, 3: 1}",15.03
13000,88,11,0.7713115215301514,0.6610777378082275,"{1: 7, 7: 1, 4: 54, 5: 2, 6: 1, 2: 4, 8: 1, 3: 6, 0: 10, 9: 1, 10: 1}",12.78
23000,100,9,0.7204360961914062,0.6488350629806519,"{1: 7, 7: 1, 4: 1, 0: 79, 5: 2, 3: 3, 2: 5, 6: 1, 8: 1}",10.76
33000,97,11,0.7726433873176575,0.6036872267723083,"{4: 8, 10: 3, 0: 5, 1: 47, 2: 7, 6: 4, 5: 1, 8: 18, 7: 1, 3: 2, 9: 1}",13.23
43000,97,8,0.6866926550865173,0.3080846071243286,"{2: 24, 1: 2, 5: 2, 0: 22, 7: 1, 6: 43, 3: 2, 4: 1}",13.20
53000,95,14,0.7731196880340576,0.35670438408851624,"{0: 16, 7: 2, 5: 2, 3: 2, 1: 16, 4: 18, 2: 2, 6: 26, 11: 1, 13: 2, 8: 3, 9: 2, 10: 1, 12: 2}",13.34
63000,91,11,0.7150202989578247,0.19877882301807404,"{7: 2, 2: 41, 1: 4, 0: 14, 10: 5, 4: 4, 8: 3, 6: 8, 5: 3, 3: 3, 9: 4}",13.25
73000,75,12,0.7163916230201721,0.13476935029029846,"{1: 3, 11: 3, 2: 9, 6: 4, 9: 1, 4: 34, 5: 6, 3: 2, 10: 2, 0: 7, 8: 1, 7: 3}",13.28
83000,70,12,0.7302191257476807,0.12413036823272705,"{7: 2, 1: 6, 2: 4, 0: 10, 3: 3, 4: 2, 6: 3, 8: 30, 11: 1, 10: 5, 9: 1, 5: 3}",13.30
93000,67,10,0.6553115844726562,0.10154006630182266,"{4: 2, 1: 6, 2: 2, 0: 11, 5: 1, 6: 2, 3: 35, 7: 2, 9: 3, 8: 3}",13.37
103000,72,12,0.7330225110054016,0.13582228124141693,"{0: 3, 2: 6, 1: 12, 8: 2, 5: 3, 7: 30, 11: 1, 10: 2, 3: 2, 4: 5, 9: 2, 6: 4}",13.31
113000,40,9,0.785068929195404,0.312339723110199,"{5: 2, 1: 11, 6: 2, 0: 3, 3: 12, 8: 2, 7: 1, 2: 5, 4: 2}",13.36
123000,36,8,0.7102383971214294,0.18485794961452484,"{2: 2, 0: 9, 5: 2, 4: 16, 7: 2, 6: 1, 1: 2, 3: 2}",13.24
133000,22,9,0.847743570804596,0.25645843148231506,"{0: 2, 6: 1, 2: 2, 3: 3, 4: 4, 8: 2, 1: 3, 5: 3, 7: 2}",13.23
143000,19,8,0.821621835231781,0.2656639516353607,"{0: 2, 6: 1, 2: 4, 1: 2, 4: 5, 7: 2, 5: 1, 3: 2}",13.24
