checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,18,4,0.7819048166275024,0.5209072828292847,"{1: 7, 0: 6, 3: 2, 2: 3}",14.89
13000,21,7,0.8389113545417786,0.5448920130729675,"{6: 4, 2: 2, 5: 1, 0: 6, 1: 6, 3: 1, 4: 1}",12.49
23000,22,14,0.8915227055549622,0.3533134460449219,"{0: 3, 1: 3, 8: 1, 4: 2, 9: 1, 11: 1, 12: 1, 10: 1, 13: 1, 3: 4, 5: 1, 6: 1, 7: 1, 2: 1}",13.06
33000,29,11,0.7223119735717773,0.0778716504573822,"{0: 4, 2: 2, 9: 1, 8: 1, 10: 1, 3: 13, 5: 1, 1: 3, 7: 1, 4: 1, 6: 1}",13.09
43000,14,7,0.8795454502105713,0.5137071013450623,"{4: 2, 1: 2, 0: 4, 5: 2, 6: 1, 3: 1, 2: 2}",13.12
53000,14,6,0.8548645377159119,0.5499308109283447,"{0: 4, 2: 3, 5: 1, 3: 1, 4: 1, 1: 4}",13.15
63000,7,4,0.7795306444168091,0.3543938398361206,"{2: 1, 0: 4, 3: 1, 1: 1}",13.12
73000,3,3,0.9083752036094666,nan,"{1: 1, 2: 1, 0: 1}",13.05
83000,8,7,0.8847470283508301,0.007992565631866455,"{6: 1, 5: 1, 4: 1, 0: 2, 2: 1, 3: 1, 1: 1}",13.07
93000,4,4,0.8969898223876953,nan,"{3: 1, 1: 1, 2: 1, 0: 1}",13.21
103000,5,4,0.8413519859313965,0.003907680511474609,"{2: 1, 0: 2, 3: 1, 1: 1}",13.14
113000,4,4,0.9656938910484314,nan,"{2: 1, 3: 1, 1: 1, 0: 1}",13.10
123000,3,2,0.9066183567047119,0.7299262285232544,"{1: 1, 0: 2}",13.15
133000,2,2,0.9886912107467651,nan,"{1: 1, 0: 1}",13.25
143000,3,2,0.6559886932373047,0.0034461021423339844,"{0: 2, 1: 1}",13.25
