checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,37,8,0.8562400341033936,0.6740553379058838,"{0: 8, 3: 8, 4: 2, 7: 4, 6: 6, 1: 3, 5: 1, 2: 5}",14.97
13000,16,4,0.7764211893081665,0.6745499968528748,"{0: 9, 3: 1, 2: 1, 1: 5}",12.45
23000,7,2,0.7635415196418762,0.6727043986320496,"{1: 3, 0: 4}",13.23
33000,10,3,0.7802605628967285,0.7389038801193237,"{0: 8, 1: 1, 2: 1}",13.14
43000,13,4,0.745578408241272,0.6034377217292786,"{0: 8, 3: 2, 1: 2, 2: 1}",13.30
53000,10,2,0.7220643162727356,0.6412114500999451,"{0: 8, 1: 2}",12.95
63000,15,2,0.6100062131881714,0.543458878993988,"{0: 13, 1: 2}",12.94
73000,10,1,0.6177749037742615,0.6177749037742615,{0: 10},12.89
83000,6,1,0.54360431432724,0.54360431432724,{0: 6},12.80
93000,4,1,0.3919876515865326,0.3919876515865326,{0: 4},12.68
103000,9,1,0.5041000843048096,0.5041000843048096,{0: 9},12.71
113000,4,1,0.40416017174720764,0.40416017174720764,{0: 4},12.66
123000,6,1,0.47497349977493286,0.47497349977493286,{0: 6},12.57
133000,4,1,0.40499353408813477,0.40499353408813477,{0: 4},12.53
143000,3,1,0.037855446338653564,0.037855446338653564,{0: 3},12.51
