checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,95,7,0.6896211504936218,0.4431215226650238,"{1: 55, 6: 1, 3: 2, 4: 2, 2: 3, 5: 1, 0: 31}",14.90
13000,42,5,0.7499370574951172,0.6648377180099487,"{2: 4, 0: 32, 1: 2, 3: 3, 4: 1}",13.21
23000,22,3,0.7366349697113037,0.6034164428710938,"{1: 2, 0: 16, 2: 4}",13.53
33000,13,6,0.8360424637794495,0.5841419100761414,"{5: 2, 3: 1, 1: 5, 2: 2, 0: 2, 4: 1}",13.39
43000,9,3,0.7942326664924622,0.6251682043075562,"{0: 6, 1: 2, 2: 1}",13.45
53000,6,3,0.7891862988471985,0.43513020873069763,"{2: 2, 0: 3, 1: 1}",13.48
63000,7,4,0.7671988606452942,0.19998392462730408,"{2: 1, 1: 3, 0: 2, 3: 1}",13.72
73000,7,5,0.8608384132385254,0.54438716173172,"{2: 1, 3: 1, 0: 3, 4: 1, 1: 1}",13.59
83000,3,2,0.7960579991340637,0.5775339603424072,"{0: 2, 1: 1}",13.50
93000,5,3,0.7389673590660095,0.19968441128730774,"{1: 1, 0: 2, 2: 2}",13.60
103000,1,1,nan,nan,{0: 1},13.58
113000,1,1,nan,nan,{0: 1},13.78
123000,3,1,0.5729823708534241,0.5729823708534241,{0: 3},13.65
133000,2,2,0.8307221531867981,nan,"{1: 1, 0: 1}",13.56
