checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,35,9,0.8007839918136597,0.6996874809265137,"{3: 4, 0: 20, 2: 2, 1: 4, 5: 1, 4: 1, 7: 1, 8: 1, 6: 1}",14.91
13000,28,1,0.6974269151687622,0.6974269151687622,{0: 28},12.26
23000,21,1,0.6564034819602966,0.6564034819602966,{0: 21},12.27
33000,18,1,0.6885479688644409,0.6885479688644409,{0: 18},12.27
43000,19,2,0.6575443148612976,0.6393066644668579,"{0: 18, 1: 1}",12.24
53000,20,2,0.6788937449455261,0.6475440859794617,"{0: 18, 1: 2}",12.25
63000,20,3,0.6888572573661804,0.652646005153656,"{0: 18, 2: 1, 1: 1}",12.26
73000,13,1,0.6537569165229797,0.6537569165229797,{0: 13},12.37
83000,13,1,0.660183310508728,0.660183310508728,{0: 13},12.27
93000,11,1,0.6543359756469727,0.6543359756469727,{0: 11},12.23
103000,7,1,0.62846440076828,0.62846440076828,{0: 7},12.34
113000,4,1,0.5967298746109009,0.5967298746109009,{0: 4},12.21
123000,4,1,0.6392862200737,0.6392862200737,{0: 4},12.37
133000,3,1,0.5697412490844727,0.5697412490844727,{0: 3},12.34
143000,3,1,0.5372445583343506,0.5372445583343506,{0: 3},12.32
