checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,76,11,0.8043063879013062,0.5562494397163391,"{9: 3, 10: 1, 6: 1, 3: 4, 2: 32, 4: 13, 7: 9, 8: 2, 0: 4, 1: 6, 5: 1}",15.03
13000,96,17,0.8554601669311523,0.539251446723938,"{2: 4, 3: 23, 12: 5, 0: 15, 6: 8, 10: 3, 7: 5, 5: 6, 11: 3, 16: 5, 15: 1, 8: 5, 9: 5, 1: 4, 4: 2, 13: 1, 14: 1}",12.95
23000,100,16,0.81573486328125,0.6713147163391113,"{4: 37, 0: 21, 8: 2, 5: 5, 7: 2, 10: 5, 12: 2, 15: 1, 2: 10, 13: 1, 1: 7, 9: 1, 11: 1, 3: 3, 14: 1, 6: 1}",12.67
33000,87,14,0.8173192739486694,0.6791564226150513,"{2: 35, 7: 1, 0: 6, 5: 7, 11: 2, 6: 2, 8: 5, 1: 11, 12: 4, 3: 2, 10: 1, 4: 3, 13: 7, 9: 1}",13.16
43000,76,17,0.8305914998054504,0.6417815089225769,"{0: 18, 3: 16, 16: 6, 8: 3, 6: 2, 4: 8, 13: 1, 2: 5, 9: 1, 11: 1, 7: 3, 1: 5, 5: 2, 15: 1, 12: 2, 14: 1, 10: 1}",13.14
53000,63,15,0.8316763639450073,0.6564826369285583,"{6: 3, 5: 7, 8: 1, 2: 21, 1: 6, 9: 7, 3: 2, 12: 2, 14: 1, 10: 3, 0: 3, 11: 3, 7: 1, 4: 2, 13: 1}",13.06
63000,67,16,0.8382825255393982,0.5794230699539185,"{1: 4, 6: 5, 2: 21, 11: 5, 12: 8, 5: 5, 4: 3, 15: 1, 3: 3, 9: 2, 10: 1, 13: 3, 0: 2, 14: 1, 7: 1, 8: 2}",13.06
73000,68,16,0.8449907302856445,0.6274058222770691,"{14: 5, 2: 26, 5: 8, 6: 5, 3: 5, 0: 3, 12: 1, 8: 2, 1: 2, 10: 1, 11: 2, 13: 3, 15: 1, 4: 2, 7: 1, 9: 1}",13.07
83000,71,16,0.8340278267860413,0.5325138568878174,"{6: 20, 3: 4, 4: 16, 2: 4, 7: 5, 10: 1, 15: 1, 1: 5, 0: 3, 11: 1, 13: 1, 14: 3, 5: 2, 9: 3, 8: 1, 12: 1}",13.13
93000,55,17,0.8497945666313171,0.5215935707092285,"{7: 13, 5: 4, 1: 3, 9: 3, 11: 10, 0: 2, 2: 4, 4: 2, 13: 1, 12: 1, 8: 2, 10: 1, 3: 2, 14: 1, 16: 2, 6: 3, 15: 1}",13.10
103000,46,18,0.8465549945831299,0.5256450176239014,"{2: 3, 6: 12, 9: 2, 0: 9, 12: 1, 1: 3, 15: 1, 4: 2, 3: 4, 11: 1, 17: 1, 13: 1, 16: 1, 7: 1, 8: 1, 14: 1, 5: 1, 10: 1}",13.22
113000,37,14,0.8467900156974792,0.519884467124939,"{1: 3, 3: 3, 6: 7, 4: 9, 12: 1, 11: 1, 5: 2, 13: 1, 0: 4, 2: 2, 8: 1, 10: 1, 7: 1, 9: 1}",13.14
123000,34,13,0.8402948379516602,0.5448832511901855,"{4: 2, 7: 1, 11: 1, 1: 8, 5: 9, 10: 1, 12: 1, 6: 2, 0: 4, 2: 2, 8: 1, 9: 1, 3: 1}",13.14
133000,27,11,0.8394593000411987,0.4742313325405121,"{3: 2, 1: 9, 4: 3, 9: 2, 10: 1, 2: 2, 0: 4, 8: 1, 7: 1, 5: 1, 6: 1}",13.16
143000,18,9,0.8378682732582092,0.6172093152999878,"{5: 1, 0: 8, 2: 2, 7: 1, 1: 2, 4: 1, 8: 1, 6: 1, 3: 1}",13.12
