checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,29,4,0.7658608555793762,0.6794186234474182,"{0: 21, 3: 1, 1: 2, 2: 5}",14.89
13000,39,3,0.6843792796134949,0.6579937934875488,"{0: 36, 1: 2, 2: 1}",12.31
23000,45,1,0.6102891564369202,0.6102891564369202,{0: 45},12.20
33000,51,2,0.551943302154541,0.5291019678115845,"{0: 49, 1: 2}",12.56
43000,46,2,0.5376384854316711,0.525019109249115,"{0: 45, 1: 1}",12.59
53000,53,1,0.48826509714126587,0.48826509714126587,{0: 53},12.62
63000,45,1,0.4392376244068146,0.4392376244068146,{0: 45},12.71
73000,41,1,0.42996248602867126,0.42996248602867126,{0: 41},12.69
83000,35,1,0.4345094859600067,0.4345094859600067,{0: 35},12.66
93000,32,1,0.38120341300964355,0.38120341300964355,{0: 32},12.76
103000,35,1,0.3848346173763275,0.3848346173763275,{0: 35},12.63
113000,26,1,0.3763410449028015,0.3763410449028015,{0: 26},12.68
123000,26,1,0.3861154019832611,0.3861154019832611,{0: 26},12.62
133000,25,1,0.37342625856399536,0.37342625856399536,{0: 25},12.68
143000,23,1,0.3849288821220398,0.3849288821220398,{0: 23},12.59
