checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,41,9,0.7620776891708374,0.4706626236438751,"{4: 5, 2: 2, 1: 4, 3: 21, 7: 1, 5: 3, 8: 1, 0: 2, 6: 2}",15.15
13000,47,8,0.7963318228721619,0.6765393018722534,"{7: 1, 0: 28, 6: 1, 5: 1, 4: 6, 1: 6, 2: 1, 3: 3}",12.89
23000,12,5,0.8147712349891663,0.6589739322662354,"{0: 7, 2: 1, 3: 1, 4: 1, 1: 2}",13.22
33000,2,2,0.9727646708488464,nan,"{1: 1, 0: 1}",13.28
43000,2,2,0.9666256308555603,nan,"{1: 1, 0: 1}",13.62
53000,1,1,nan,nan,{0: 1},13.70
