checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,14,0.8405061364173889,0.596066951751709,"{8: 11, 1: 6, 9: 25, 5: 27, 3: 5, 10: 1, 0: 6, 2: 3, 4: 4, 13: 3, 11: 3, 12: 2, 6: 3, 7: 1}",14.60
13000,93,16,0.871131956577301,0.5696366429328918,"{9: 8, 6: 2, 2: 4, 0: 5, 11: 1, 4: 4, 10: 23, 7: 10, 12: 1, 3: 22, 15: 1, 5: 2, 8: 4, 1: 3, 13: 1, 14: 2}",13.46
23000,95,19,0.8565530180931091,0.6522578001022339,"{3: 5, 1: 4, 8: 7, 0: 6, 14: 3, 11: 2, 2: 5, 4: 2, 17: 1, 15: 4, 6: 32, 16: 1, 13: 15, 9: 1, 18: 1, 5: 2, 7: 2, 10: 1, 12: 1}",13.49
33000,100,16,0.8666393160820007,0.619511604309082,"{2: 7, 0: 9, 13: 19, 7: 2, 14: 7, 12: 1, 3: 4, 5: 11, 11: 7, 9: 2, 1: 16, 4: 7, 8: 1, 6: 2, 15: 1, 10: 4}",12.35
43000,80,14,0.8606258630752563,0.6322892308235168,"{1: 7, 10: 12, 0: 8, 13: 4, 3: 8, 4: 10, 9: 2, 2: 12, 6: 2, 12: 2, 5: 5, 11: 1, 8: 5, 7: 2}",13.59
53000,87,13,0.8603382706642151,0.6280644536018372,"{10: 8, 1: 5, 2: 12, 6: 8, 8: 3, 9: 4, 11: 1, 4: 10, 5: 7, 3: 7, 7: 2, 0: 16, 12: 4}",13.52
63000,63,12,0.8492456078529358,0.6015416979789734,"{3: 4, 5: 7, 0: 9, 1: 6, 6: 4, 10: 1, 2: 9, 4: 12, 7: 1, 11: 8, 9: 1, 8: 1}",13.53
73000,68,9,0.8425734639167786,0.65873122215271,"{5: 4, 0: 20, 1: 8, 6: 4, 3: 8, 2: 8, 4: 14, 7: 1, 8: 1}",13.59
83000,63,9,0.8450057506561279,0.6849535703659058,"{1: 19, 2: 5, 0: 18, 3: 6, 8: 7, 6: 1, 5: 1, 4: 5, 7: 1}",13.65
93000,63,9,0.839850902557373,0.6082149147987366,"{2: 6, 6: 9, 0: 9, 7: 11, 8: 7, 3: 5, 4: 9, 1: 6, 5: 1}",13.54
103000,46,8,0.8272307515144348,0.6878835558891296,"{2: 17, 7: 1, 6: 7, 0: 12, 5: 1, 1: 5, 3: 2, 4: 1}",13.70
113000,37,7,0.8312013149261475,0.6874222159385681,"{2: 13, 0: 4, 5: 9, 6: 3, 1: 5, 3: 2, 4: 1}",13.50
123000,28,5,0.819908082485199,0.7090489268302917,"{3: 1, 0: 12, 2: 10, 1: 4, 4: 1}",13.60
133000,29,5,0.816112220287323,0.7102961540222168,"{2: 2, 1: 10, 0: 13, 4: 3, 3: 1}",13.57
143000,25,6,0.8142367005348206,0.6993330717086792,"{3: 1, 0: 11, 2: 8, 1: 3, 5: 1, 4: 1}",13.54
