checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,24,6,0.7560756802558899,0.6263853311538696,"{5: 1, 0: 16, 2: 2, 1: 2, 4: 1, 3: 2}",14.81
13000,51,7,0.7939245104789734,0.641509473323822,"{1: 20, 0: 3, 4: 3, 5: 5, 6: 3, 2: 16, 3: 1}",12.15
23000,39,7,0.7702312469482422,0.4909343123435974,"{0: 2, 4: 6, 2: 7, 1: 5, 5: 16, 6: 2, 3: 1}",12.33
33000,38,5,0.7265746593475342,0.44679808616638184,"{0: 11, 1: 3, 4: 16, 2: 7, 3: 1}",12.59
43000,15,4,0.781620442867279,0.6686625480651855,"{0: 6, 1: 6, 3: 2, 2: 1}",12.60
53000,24,5,0.6728121042251587,0.3936513364315033,"{0: 4, 4: 15, 1: 2, 3: 1, 2: 2}",12.63
63000,16,5,0.7495651245117188,0.439260333776474,"{1: 6, 2: 3, 0: 5, 3: 1, 4: 1}",12.72
73000,11,4,0.7719229459762573,0.5610703229904175,"{0: 5, 2: 4, 3: 1, 1: 1}",12.78
83000,5,1,0.6496674418449402,0.6496674418449402,{0: 5},12.66
93000,1,1,nan,nan,{0: 1},12.64
103000,1,1,nan,nan,{0: 1},12.66
113000,1,1,nan,nan,{0: 1},12.65
