checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,22,0.9092282056808472,0.1741010844707489,"{13: 1, 17: 6, 7: 3, 6: 12, 11: 3, 18: 2, 1: 2, 8: 4, 3: 5, 0: 10, 15: 6, 21: 6, 2: 4, 5: 7, 10: 8, 14: 2, 12: 2, 4: 6, 16: 1, 20: 1, 9: 8, 19: 1}",10.72
13000,100,27,0.9067738056182861,0.23464033007621765,"{15: 2, 4: 12, 9: 12, 0: 7, 3: 4, 23: 1, 17: 3, 6: 5, 22: 1, 12: 2, 24: 1, 16: 1, 2: 2, 7: 3, 8: 5, 11: 1, 20: 3, 5: 12, 1: 3, 19: 1, 18: 4, 10: 5, 25: 1, 14: 6, 21: 1, 13: 1, 26: 1}",10.32
23000,70,24,0.8797159194946289,0.034248050302267075,"{7: 2, 1: 4, 3: 2, 20: 2, 19: 1, 0: 3, 22: 1, 6: 15, 21: 1, 5: 2, 4: 4, 8: 2, 9: 2, 11: 5, 16: 1, 15: 1, 17: 9, 10: 2, 18: 1, 23: 1, 14: 2, 2: 5, 12: 1, 13: 1}",13.03
33000,42,10,0.7758440971374512,8.24401880095138e-08,"{9: 3, 8: 1, 7: 14, 5: 1, 1: 3, 0: 10, 2: 2, 6: 1, 3: 2, 4: 5}",12.19
43000,4,3,0.8096559047698975,0.0,"{2: 1, 1: 1, 0: 2}",12.59
53000,18,2,0.2705632448196411,0.09391868114471436,"{0: 16, 1: 2}",12.57
63000,39,5,0.6019728779792786,0.046335868537425995,"{4: 16, 0: 16, 2: 2, 3: 2, 1: 3}",12.62
73000,21,3,0.42077621817588806,0.09365401417016983,"{0: 16, 1: 2, 2: 3}",12.57
83000,20,4,0.3747146725654602,0.0,"{2: 15, 3: 1, 0: 3, 1: 1}",12.56
93000,5,3,0.6258698105812073,2.980232238769531e-07,"{2: 1, 0: 3, 1: 1}",12.52
103000,4,2,0.4275306165218353,5.960464477539063e-08,"{1: 1, 0: 3}",12.58
113000,4,2,0.42675837874412537,0.0,"{1: 1, 0: 3}",12.56
