checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,92,12,0.8371036648750305,0.6486827731132507,"{2: 35, 1: 21, 10: 1, 11: 1, 0: 7, 7: 2, 4: 9, 8: 4, 9: 4, 6: 4, 5: 2, 3: 2}",14.91
13000,100,12,0.8311679363250732,0.7052472829818726,"{11: 2, 0: 41, 2: 24, 8: 9, 1: 4, 7: 5, 3: 3, 4: 2, 9: 1, 6: 1, 5: 5, 10: 3}",11.90
23000,100,10,0.8098092079162598,0.6786374449729919,"{0: 25, 1: 37, 2: 15, 6: 3, 5: 2, 3: 6, 9: 3, 4: 2, 7: 6, 8: 1}",10.57
33000,100,6,0.7844676375389099,0.7301764488220215,"{3: 10, 0: 78, 1: 4, 2: 2, 5: 4, 4: 2}",10.13
43000,100,8,0.7696823477745056,0.7173704504966736,"{1: 10, 0: 80, 5: 1, 6: 4, 2: 2, 7: 1, 3: 1, 4: 1}",8.99
53000,100,7,0.7681084275245667,0.726039469242096,"{0: 82, 6: 4, 2: 8, 5: 3, 3: 1, 4: 1, 1: 1}",10.30
63000,100,6,0.7454319596290588,0.720679521560669,"{0: 90, 1: 4, 5: 2, 4: 1, 3: 1, 2: 2}",10.44
73000,100,6,0.7389001250267029,0.7004649043083191,"{2: 5, 1: 86, 0: 4, 5: 2, 3: 1, 4: 2}",11.26
83000,100,6,0.7318892478942871,0.7004965543746948,"{0: 88, 2: 3, 1: 4, 4: 1, 5: 1, 3: 3}",12.05
93000,90,5,0.7224568128585815,0.6953988075256348,"{0: 82, 3: 1, 1: 3, 2: 2, 4: 2}",12.68
103000,79,4,0.6972319483757019,0.6632699370384216,"{2: 71, 3: 1, 1: 2, 0: 5}",12.74
113000,61,2,0.6524490714073181,0.6398783326148987,"{0: 59, 1: 2}",12.60
123000,58,2,0.6387046575546265,0.6323100924491882,"{0: 57, 1: 1}",12.76
133000,44,1,0.6042059659957886,0.6042059659957886,{0: 44},12.75
143000,45,1,0.6237935423851013,0.6237935423851013,{0: 45},12.67
