checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,8,0.802980363368988,0.5635778307914734,"{2: 36, 0: 5, 7: 15, 6: 4, 5: 7, 1: 30, 3: 2, 4: 1}",14.32
13000,96,9,0.7974814772605896,0.5665983557701111,"{1: 26, 4: 3, 0: 38, 2: 14, 8: 9, 3: 3, 5: 1, 7: 1, 6: 1}",13.32
23000,76,7,0.8230419754981995,0.5860329270362854,"{2: 14, 0: 23, 1: 11, 5: 14, 4: 4, 3: 8, 6: 2}",13.44
33000,41,6,0.7282990217208862,0.49147337675094604,"{4: 24, 0: 4, 5: 2, 1: 3, 3: 2, 2: 6}",13.53
43000,28,7,0.7395768761634827,0.4853096008300781,"{2: 17, 1: 3, 3: 1, 5: 1, 6: 2, 0: 2, 4: 2}",13.48
53000,24,6,0.7847669124603271,0.5067470669746399,"{1: 12, 0: 6, 5: 1, 4: 1, 2: 2, 3: 2}",13.54
63000,23,3,0.7749385237693787,0.5036879777908325,"{1: 9, 2: 8, 0: 6}",13.49
73000,11,2,0.7352422475814819,0.5479365587234497,"{0: 4, 1: 7}",13.66
83000,8,2,0.7032970786094666,0.4218151867389679,"{0: 4, 1: 4}",13.49
93000,3,1,0.47726526856422424,0.47726526856422424,{0: 3},13.54
103000,3,2,0.8173761963844299,0.6294369697570801,"{0: 2, 1: 1}",13.52
113000,2,1,0.10592406988143921,0.10592406988143921,{0: 2},13.51
123000,1,1,nan,nan,{0: 1},13.60
133000,1,1,nan,nan,{0: 1},13.56
143000,1,1,nan,nan,{0: 1},13.62
