checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,10,0.8112152814865112,0.6976885795593262,"{0: 52, 3: 3, 4: 10, 2: 14, 1: 7, 6: 4, 8: 5, 7: 1, 5: 2, 9: 2}",5.93
13000,100,10,0.8145633935928345,0.6802737712860107,"{3: 49, 8: 3, 1: 16, 9: 3, 2: 2, 6: 2, 5: 1, 7: 2, 4: 14, 0: 8}",4.66
23000,100,7,0.796004056930542,0.6744383573532104,"{1: 57, 5: 18, 2: 12, 4: 1, 0: 2, 6: 7, 3: 3}",4.93
33000,100,9,0.777749240398407,0.652708888053894,"{2: 54, 1: 8, 3: 19, 0: 13, 5: 1, 6: 1, 7: 1, 8: 1, 4: 2}",5.03
43000,100,7,0.7420586943626404,0.648496150970459,"{1: 69, 5: 2, 0: 12, 6: 12, 3: 2, 2: 2, 4: 1}",5.26
53000,100,5,0.7392446398735046,0.6369227766990662,"{3: 64, 1: 15, 4: 15, 2: 3, 0: 3}",5.39
63000,100,6,0.7404852509498596,0.6466507315635681,"{3: 67, 0: 17, 2: 12, 4: 1, 1: 2, 5: 1}",5.44
73000,100,4,0.7209840416908264,0.6407268047332764,"{1: 68, 0: 30, 2: 1, 3: 1}",5.46
83000,100,4,0.7269367575645447,0.6509659886360168,"{1: 70, 0: 28, 2: 1, 3: 1}",5.58
93000,100,3,0.7237353920936584,0.6467479467391968,"{0: 70, 1: 29, 2: 1}",5.65
103000,100,3,0.7156947255134583,0.6580461859703064,"{2: 78, 0: 21, 1: 1}",5.66
113000,100,3,0.703132688999176,0.6535260677337646,"{1: 83, 0: 15, 2: 2}",5.90
123000,100,2,0.6987209320068359,0.6501273512840271,"{1: 82, 0: 18}",5.91
133000,100,2,0.7028308510780334,0.6482989192008972,"{1: 78, 0: 22}",5.87
143000,100,1,0.6993832588195801,0.6993832588195801,{0: 100},6.18
