checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,29,4,0.7643804550170898,0.5390632748603821,"{2: 13, 0: 12, 1: 3, 3: 1}",14.96
13000,44,11,0.5382289290428162,0.17223471403121948,"{0: 32, 3: 2, 5: 1, 8: 1, 7: 1, 10: 1, 9: 1, 1: 2, 6: 1, 2: 1, 4: 1}",12.44
23000,27,8,0.8307768702507019,0.2993098795413971,"{1: 10, 5: 6, 7: 2, 2: 3, 4: 1, 0: 2, 3: 2, 6: 1}",13.04
33000,38,9,0.8227488994598389,0.3357961177825928,"{2: 10, 1: 11, 0: 3, 8: 1, 4: 4, 6: 1, 3: 3, 7: 1, 5: 4}",13.00
43000,27,8,0.8143698573112488,0.36063823103904724,"{4: 2, 0: 11, 5: 1, 6: 1, 1: 3, 7: 3, 3: 2, 2: 4}",13.00
53000,29,13,0.83255934715271,0.31321364641189575,"{12: 1, 1: 11, 6: 1, 11: 1, 7: 1, 8: 1, 10: 1, 0: 3, 5: 1, 3: 1, 4: 2, 9: 1, 2: 4}",13.02
63000,16,6,0.8326008915901184,0.3837035000324249,"{0: 4, 3: 1, 1: 4, 5: 1, 4: 2, 2: 4}",13.03
73000,21,9,0.8157039880752563,0.2568424642086029,"{5: 1, 7: 1, 4: 1, 1: 2, 8: 1, 0: 7, 2: 3, 3: 1, 6: 4}",13.05
83000,12,6,0.8212934136390686,0.23393626511096954,"{4: 1, 3: 1, 1: 1, 2: 2, 0: 3, 5: 4}",13.06
93000,11,5,0.7986586093902588,0.3250952661037445,"{2: 1, 0: 4, 3: 1, 1: 4, 4: 1}",13.02
103000,10,3,0.755827009677887,0.3026987612247467,"{2: 2, 0: 4, 1: 4}",13.06
113000,5,2,0.3861479163169861,0.013604800216853619,"{1: 1, 0: 4}",13.08
123000,5,2,0.3822382986545563,0.013644884340465069,"{1: 1, 0: 4}",13.11
133000,8,2,0.637554943561554,0.3026765286922455,"{0: 3, 1: 5}",13.12
143000,3,2,0.8498373627662659,0.6530028581619263,"{0: 2, 1: 1}",13.12
