checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,11,0.515791654586792,0.0866483822464943,"{8: 68, 2: 4, 0: 9, 9: 1, 10: 1, 1: 4, 7: 1, 3: 3, 6: 4, 5: 1, 4: 4}",7.61
13000,100,9,0.34837594628334045,0.13141044974327087,"{6: 84, 4: 1, 2: 5, 3: 3, 5: 1, 7: 1, 8: 1, 0: 2, 1: 2}",5.46
23000,100,9,0.36499515175819397,0.1525331437587738,"{0: 84, 8: 1, 1: 2, 6: 4, 5: 2, 2: 3, 4: 1, 7: 1, 3: 2}",7.98
33000,100,4,0.26353439688682556,0.2094370275735855,"{2: 96, 0: 2, 3: 1, 1: 1}",6.68
43000,100,6,0.3607029914855957,0.2744482755661011,"{0: 93, 5: 1, 4: 1, 3: 1, 2: 3, 1: 1}",9.77
53000,100,7,0.3876001238822937,0.23445755243301392,"{1: 87, 0: 3, 4: 3, 5: 1, 6: 1, 3: 3, 2: 2}",9.83
63000,100,7,0.35476699471473694,0.2155570387840271,"{0: 89, 5: 1, 1: 2, 4: 3, 3: 3, 6: 1, 2: 1}",9.64
73000,100,5,0.34639474749565125,0.24598519504070282,"{0: 92, 1: 3, 4: 1, 3: 3, 2: 1}",9.65
83000,100,5,0.27922728657722473,0.1934434324502945,"{0: 94, 4: 1, 2: 1, 1: 3, 3: 1}",8.51
93000,100,9,0.5968523025512695,0.2800751030445099,"{0: 67, 3: 2, 1: 4, 2: 2, 8: 3, 6: 1, 7: 1, 4: 19, 5: 1}",11.79
103000,100,4,0.2827870547771454,0.2128821611404419,"{0: 95, 3: 1, 2: 1, 1: 3}",9.78
113000,100,4,0.2802222967147827,0.21066166460514069,"{0: 95, 3: 1, 2: 1, 1: 3}",9.75
123000,100,5,0.2851095497608185,0.18875828385353088,"{0: 93, 1: 2, 4: 1, 3: 3, 2: 1}",10.34
133000,100,5,0.3046615421772003,0.1980762481689453,"{0: 92, 2: 3, 4: 1, 1: 3, 3: 1}",9.99
143000,100,5,0.2980290651321411,0.20347751677036285,"{0: 93, 1: 2, 4: 1, 3: 3, 2: 1}",10.51
