checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,85,21,0.8414421081542969,0.117237389087677,"{14: 3, 15: 1, 8: 2, 6: 10, 4: 2, 9: 3, 0: 14, 18: 24, 3: 5, 2: 2, 11: 1, 5: 4, 1: 5, 16: 1, 10: 1, 20: 1, 17: 1, 7: 1, 19: 1, 12: 1, 13: 2}",15.22
13000,82,30,0.9164720773696899,0.16644465923309326,"{7: 2, 18: 2, 14: 2, 4: 3, 2: 3, 19: 1, 8: 4, 20: 2, 25: 4, 29: 1, 24: 1, 9: 10, 13: 4, 5: 5, 3: 6, 27: 1, 6: 2, 0: 2, 17: 1, 10: 3, 21: 1, 12: 3, 1: 11, 26: 1, 11: 2, 16: 1, 15: 1, 23: 1, 22: 1, 28: 1}",12.45
23000,100,21,0.7822301387786865,0.3687233626842499,"{12: 1, 9: 7, 1: 4, 3: 2, 0: 52, 4: 2, 11: 2, 20: 3, 7: 7, 8: 2, 17: 1, 5: 3, 13: 2, 18: 1, 2: 4, 15: 1, 19: 1, 10: 1, 14: 1, 6: 2, 16: 1}",8.77
33000,100,18,0.7612507939338684,0.33094459772109985,"{5: 7, 4: 4, 8: 5, 3: 52, 1: 2, 14: 1, 9: 3, 2: 8, 6: 2, 15: 1, 17: 2, 10: 1, 7: 4, 0: 2, 16: 1, 11: 1, 12: 3, 13: 1}",9.23
43000,100,13,0.5951039791107178,0.26447123289108276,"{2: 8, 5: 6, 4: 4, 0: 69, 9: 1, 11: 1, 3: 4, 12: 1, 1: 2, 8: 1, 7: 1, 6: 1, 10: 1}",10.76
53000,100,13,0.5624412894248962,0.14467373490333557,"{1: 8, 0: 68, 5: 8, 6: 1, 2: 4, 3: 3, 4: 2, 11: 1, 7: 1, 10: 1, 12: 1, 9: 1, 8: 1}",12.91
63000,94,10,0.4515310823917389,0.1701844483613968,"{0: 74, 2: 6, 7: 3, 3: 4, 6: 1, 1: 2, 9: 1, 4: 1, 5: 1, 8: 1}",13.07
73000,87,5,0.3944346606731415,0.17457471787929535,"{0: 72, 4: 8, 3: 4, 1: 2, 2: 1}",13.00
83000,89,6,0.3963635563850403,0.15254554152488708,"{0: 73, 2: 6, 4: 4, 3: 2, 5: 2, 1: 2}",13.09
93000,86,4,0.35241827368736267,0.1696343570947647,"{0: 74, 1: 6, 3: 4, 2: 2}",13.01
103000,85,4,0.3410627543926239,0.15219734609127045,"{0: 73, 3: 6, 2: 4, 1: 2}",13.06
113000,75,2,0.19683565199375153,0.15347717702388763,"{0: 73, 1: 2}",13.10
123000,7,2,0.5533829927444458,0.135375514626503,"{0: 5, 1: 2}",12.97
133000,5,2,0.5965725183486938,4.470348358154297e-08,"{1: 3, 0: 2}",12.91
143000,2,1,2.384185791015625e-07,2.384185791015625e-07,{0: 2},13.19
