checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,8,1,0.6074047088623047,0.6074047088623047,{0: 8},14.77
13000,68,3,0.673175036907196,0.6261165142059326,"{2: 6, 0: 60, 1: 2}",12.19
23000,56,2,0.6955035328865051,0.6712794899940491,"{1: 4, 0: 52}",12.22
33000,38,2,0.7022854685783386,0.6588034629821777,"{0: 32, 1: 6}",12.12
43000,44,3,0.70113605260849,0.6359750032424927,"{2: 6, 0: 35, 1: 3}",12.13
53000,32,2,0.6729644536972046,0.6611149907112122,"{0: 31, 1: 1}",12.12
63000,47,2,0.701815664768219,0.666388988494873,"{1: 6, 0: 41}",12.35
73000,21,1,0.6594053506851196,0.6594053506851196,{0: 21},12.80
83000,26,1,0.6466578245162964,0.6466578245162964,{0: 26},12.93
93000,15,1,0.6649537086486816,0.6649537086486816,{0: 15},12.18
103000,11,2,0.6484614014625549,0.6039196848869324,"{1: 1, 0: 10}",12.81
113000,8,2,0.6567941904067993,0.6011477112770081,"{1: 1, 0: 7}",13.44
123000,9,2,0.6419364213943481,0.5782314538955688,"{1: 1, 0: 8}",13.31
133000,6,2,0.662634015083313,0.5794242024421692,"{1: 1, 0: 5}",12.89
143000,4,1,0.5804567933082581,0.5804567933082581,{0: 4},15.40
