checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,44,6,0.8032249808311462,0.48802825808525085,"{5: 18, 1: 8, 3: 1, 4: 8, 0: 4, 2: 5}",14.88
13000,86,20,0.8813412189483643,0.4664929211139679,"{16: 8, 12: 1, 8: 10, 5: 4, 15: 4, 2: 7, 6: 3, 17: 1, 4: 11, 10: 2, 11: 2, 0: 3, 7: 3, 1: 11, 19: 2, 18: 1, 9: 3, 13: 3, 3: 2, 14: 5}",12.55
23000,66,16,0.86512690782547,0.605017364025116,"{0: 10, 4: 2, 9: 2, 7: 2, 8: 2, 14: 8, 13: 2, 5: 5, 15: 2, 2: 6, 11: 2, 12: 6, 1: 8, 10: 1, 3: 5, 6: 3}",13.06
33000,79,15,0.8521650433540344,0.4892481863498688,"{14: 5, 4: 6, 0: 15, 2: 6, 11: 2, 6: 10, 10: 10, 5: 6, 8: 3, 12: 4, 3: 2, 9: 5, 13: 1, 1: 3, 7: 1}",13.47
43000,77,21,0.878614604473114,0.5825213193893433,"{15: 1, 6: 7, 0: 7, 9: 2, 4: 7, 3: 10, 5: 5, 13: 3, 2: 7, 11: 3, 7: 7, 8: 2, 17: 1, 16: 1, 20: 2, 10: 3, 18: 2, 14: 2, 19: 1, 1: 3, 12: 1}",13.21
53000,84,17,0.8585624694824219,0.3818509876728058,"{3: 8, 0: 3, 7: 10, 10: 4, 12: 3, 9: 12, 4: 5, 2: 7, 13: 3, 1: 2, 8: 14, 15: 1, 11: 4, 16: 1, 14: 1, 6: 4, 5: 2}",13.05
63000,82,18,0.8628425002098083,0.4081410765647888,"{6: 8, 10: 2, 17: 7, 4: 4, 0: 4, 13: 4, 3: 7, 11: 10, 1: 3, 5: 3, 8: 13, 14: 1, 7: 6, 2: 4, 9: 2, 16: 2, 12: 1, 15: 1}",13.11
73000,82,15,0.8341396450996399,0.28073590993881226,"{4: 9, 6: 2, 0: 10, 5: 4, 13: 1, 10: 6, 8: 2, 12: 4, 1: 11, 9: 21, 2: 3, 7: 5, 11: 1, 3: 2, 14: 1}",13.15
83000,68,14,0.8196299076080322,0.28293171525001526,"{6: 10, 11: 2, 3: 8, 5: 21, 4: 2, 10: 4, 12: 3, 2: 6, 0: 2, 1: 3, 9: 2, 8: 2, 13: 2, 7: 1}",13.17
93000,73,15,0.7862317562103271,0.2070424109697342,"{2: 11, 6: 2, 8: 7, 4: 25, 5: 3, 11: 1, 3: 2, 13: 1, 12: 6, 0: 5, 1: 6, 10: 1, 7: 1, 14: 1, 9: 1}",13.21
103000,71,10,0.6894432306289673,0.19389522075653076,"{2: 11, 8: 3, 3: 36, 9: 1, 1: 6, 0: 7, 7: 2, 5: 1, 4: 2, 6: 2}",13.24
113000,65,11,0.6310336589813232,0.147120863199234,"{1: 10, 10: 37, 8: 2, 3: 2, 9: 1, 0: 7, 7: 1, 4: 2, 6: 1, 5: 1, 2: 1}",13.20
123000,56,10,0.5621960163116455,0.1102786734700203,"{8: 2, 2: 4, 4: 36, 1: 2, 7: 1, 0: 5, 3: 2, 5: 2, 9: 1, 6: 1}",13.21
133000,54,9,0.6254973411560059,0.1488325148820877,"{0: 10, 1: 31, 7: 1, 2: 5, 8: 1, 5: 2, 6: 2, 3: 1, 4: 1}",13.33
143000,54,10,0.533554196357727,0.10427268594503403,"{3: 2, 5: 36, 7: 1, 4: 4, 0: 4, 1: 2, 2: 2, 8: 1, 6: 1, 9: 1}",13.43
