checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,62,13,0.7437134385108948,0.08676542341709137,"{1: 2, 0: 2, 5: 17, 4: 21, 8: 4, 11: 2, 2: 3, 9: 1, 12: 1, 3: 5, 6: 2, 10: 1, 7: 1}",14.94
13000,100,14,0.8024219870567322,0.42586642503738403,"{3: 9, 10: 5, 9: 2, 5: 28, 7: 1, 4: 2, 8: 2, 12: 2, 6: 6, 13: 30, 0: 5, 2: 2, 11: 3, 1: 3}",6.67
23000,100,16,0.8337185382843018,0.5263786315917969,"{15: 7, 9: 1, 5: 17, 8: 3, 0: 5, 4: 10, 10: 11, 3: 5, 6: 2, 14: 2, 1: 27, 13: 1, 7: 3, 12: 1, 2: 3, 11: 2}",6.01
33000,100,19,0.8295315504074097,0.45991700887680054,"{1: 6, 15: 1, 4: 16, 16: 6, 12: 1, 7: 16, 13: 1, 14: 2, 11: 2, 3: 4, 10: 2, 0: 3, 6: 7, 8: 16, 17: 4, 5: 3, 18: 2, 2: 7, 9: 1}",6.70
43000,100,16,0.8291062116622925,0.5708702206611633,"{11: 2, 9: 5, 4: 2, 8: 4, 13: 9, 7: 2, 5: 8, 0: 6, 15: 1, 6: 3, 3: 24, 12: 1, 1: 18, 2: 12, 14: 2, 10: 1}",6.56
53000,100,20,0.8442390561103821,0.4640134871006012,"{13: 2, 3: 6, 11: 1, 5: 9, 14: 16, 16: 2, 1: 3, 9: 4, 10: 12, 12: 3, 0: 4, 6: 3, 17: 4, 8: 12, 4: 2, 2: 9, 18: 2, 7: 3, 19: 2, 15: 1}",7.53
63000,100,19,0.8287670612335205,0.4774797558784485,"{4: 6, 15: 1, 14: 1, 5: 9, 6: 14, 10: 2, 2: 6, 13: 1, 0: 27, 1: 7, 11: 3, 17: 2, 9: 4, 18: 1, 12: 2, 3: 9, 8: 2, 7: 2, 16: 1}",6.48
73000,100,18,0.8319804668426514,0.4586148262023926,"{10: 1, 1: 20, 12: 17, 4: 2, 14: 4, 0: 3, 15: 4, 8: 8, 7: 4, 2: 11, 13: 1, 9: 2, 16: 3, 5: 10, 6: 3, 17: 3, 3: 3, 11: 1}",7.86
83000,100,16,0.8311777710914612,0.45238086581230164,"{4: 6, 9: 1, 5: 8, 12: 15, 10: 2, 3: 8, 8: 11, 2: 8, 6: 5, 1: 17, 13: 1, 15: 1, 14: 2, 0: 3, 7: 10, 11: 2}",7.71
93000,100,17,0.8415775895118713,0.43470871448516846,"{12: 3, 13: 1, 10: 19, 9: 4, 2: 13, 0: 14, 4: 6, 7: 9, 8: 2, 1: 8, 5: 2, 3: 4, 16: 7, 6: 5, 15: 1, 14: 1, 11: 1}",8.82
103000,100,15,0.8443548679351807,0.38842931389808655,"{11: 3, 0: 11, 10: 19, 12: 6, 3: 13, 13: 6, 1: 6, 5: 10, 7: 6, 2: 2, 4: 2, 9: 3, 6: 10, 14: 2, 8: 1}",8.28
113000,100,16,0.843155562877655,0.40337589383125305,"{14: 2, 0: 8, 12: 21, 6: 13, 4: 4, 7: 9, 5: 5, 15: 2, 3: 10, 11: 10, 2: 3, 10: 2, 9: 1, 13: 5, 1: 4, 8: 1}",9.39
123000,100,19,0.8328743577003479,0.38394850492477417,"{18: 1, 5: 25, 10: 4, 2: 8, 1: 2, 8: 12, 12: 3, 0: 12, 3: 7, 7: 2, 6: 10, 11: 1, 15: 1, 16: 3, 14: 2, 4: 4, 13: 1, 17: 1, 9: 1}",10.49
133000,100,19,0.8321425318717957,0.3389243483543396,"{18: 1, 12: 26, 4: 4, 2: 10, 16: 2, 11: 11, 9: 3, 0: 6, 7: 10, 15: 2, 3: 3, 5: 9, 1: 3, 6: 2, 8: 2, 10: 1, 13: 3, 14: 1, 17: 1}",12.53
143000,100,17,0.8131738305091858,0.31006982922554016,"{15: 1, 11: 32, 14: 4, 4: 9, 3: 4, 1: 10, 5: 6, 8: 2, 7: 7, 6: 2, 0: 3, 10: 9, 9: 1, 12: 3, 13: 2, 2: 4, 16: 1}",12.96
