checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,50,6,0.8070744872093201,0.6764286756515503,"{2: 3, 0: 25, 5: 1, 4: 17, 1: 3, 3: 1}",14.89
13000,53,13,0.8286501169204712,0.48028483986854553,"{4: 3, 11: 3, 7: 2, 0: 3, 3: 3, 6: 2, 10: 8, 2: 4, 1: 16, 5: 2, 12: 1, 9: 5, 8: 1}",12.13
23000,50,8,0.8101855516433716,0.5603728294372559,"{1: 12, 5: 6, 7: 1, 4: 6, 6: 1, 0: 14, 3: 5, 2: 5}",12.17
33000,23,7,0.8072478175163269,0.6114922165870667,"{0: 6, 2: 10, 3: 2, 1: 2, 5: 1, 4: 1, 6: 1}",12.09
43000,25,6,0.8279628157615662,0.6573221683502197,"{1: 9, 2: 7, 0: 6, 5: 1, 4: 1, 3: 1}",12.21
53000,21,5,0.8369627594947815,0.6371546387672424,"{0: 8, 3: 3, 1: 4, 4: 4, 2: 2}",12.34
63000,18,6,0.8337256908416748,0.6848917007446289,"{5: 1, 0: 8, 4: 2, 2: 1, 1: 5, 3: 1}",12.38
73000,13,4,0.795318603515625,0.5870174765586853,"{2: 1, 0: 4, 1: 6, 3: 2}",12.44
83000,9,2,0.7675849199295044,0.6272761225700378,"{1: 6, 0: 3}",12.54
93000,9,2,0.7697100043296814,0.5838019847869873,"{0: 5, 1: 4}",12.40
103000,6,4,0.869922935962677,0.7327690124511719,"{2: 1, 0: 2, 3: 1, 1: 2}",12.42
113000,3,2,0.8493432998657227,0.7646640539169312,"{0: 2, 1: 1}",12.43
123000,1,1,nan,nan,{0: 1},12.57
133000,2,2,0.8099691867828369,nan,"{1: 1, 0: 1}",12.49
143000,2,2,0.8041254281997681,nan,"{1: 1, 0: 1}",12.58
