checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,15,7,0.8187918066978455,0.3356715738773346,"{0: 2, 5: 1, 1: 4, 6: 1, 3: 3, 4: 3, 2: 1}",14.88
13000,64,20,0.8696745038032532,0.4566170275211334,"{0: 12, 2: 5, 16: 3, 14: 2, 6: 4, 7: 2, 5: 2, 18: 1, 4: 2, 11: 5, 1: 11, 19: 1, 10: 1, 8: 3, 9: 1, 3: 3, 17: 1, 12: 3, 15: 1, 13: 1}",12.50
23000,100,18,0.8253204822540283,0.20808061957359314,"{1: 15, 2: 3, 7: 3, 12: 1, 9: 1, 11: 1, 10: 1, 5: 3, 0: 3, 3: 17, 16: 5, 14: 4, 8: 2, 6: 21, 15: 12, 13: 4, 4: 3, 17: 1}",9.82
33000,100,19,0.8333810567855835,0.40840256214141846,"{1: 9, 8: 2, 3: 2, 7: 2, 11: 4, 14: 1, 13: 1, 15: 1, 16: 3, 0: 2, 4: 24, 9: 2, 6: 10, 5: 16, 12: 11, 10: 2, 2: 6, 17: 1, 18: 1}",12.50
43000,88,16,0.8099877834320068,0.18598675727844238,"{13: 2, 9: 3, 0: 5, 10: 1, 6: 4, 8: 3, 1: 2, 3: 4, 2: 11, 4: 3, 15: 1, 12: 22, 14: 8, 7: 13, 5: 3, 11: 3}",13.08
53000,95,22,0.7970414161682129,0.36657586693763733,"{14: 2, 20: 1, 13: 2, 2: 2, 3: 2, 7: 5, 6: 29, 19: 1, 5: 3, 4: 2, 21: 1, 9: 2, 18: 1, 0: 23, 8: 3, 12: 1, 1: 9, 11: 1, 15: 2, 16: 1, 17: 1, 10: 1}",13.20
63000,100,12,0.6423611044883728,0.40633517503738403,"{0: 70, 3: 6, 1: 2, 7: 1, 4: 5, 2: 5, 5: 2, 6: 2, 11: 4, 8: 1, 10: 1, 9: 1}",12.43
73000,77,19,0.8047695755958557,0.45109716057777405,"{2: 6, 7: 2, 18: 1, 6: 3, 15: 1, 1: 3, 5: 32, 0: 5, 9: 1, 13: 2, 8: 3, 3: 6, 14: 1, 12: 3, 10: 2, 4: 3, 17: 1, 16: 1, 11: 1}",13.08
83000,80,22,0.8054357767105103,0.4226382374763489,"{11: 1, 0: 33, 5: 2, 1: 5, 19: 1, 2: 3, 21: 1, 16: 2, 18: 1, 3: 4, 15: 1, 12: 2, 7: 11, 4: 2, 6: 4, 20: 1, 17: 1, 8: 1, 10: 1, 13: 1, 9: 1, 14: 1}",13.12
93000,65,12,0.7327883839607239,0.4785308837890625,"{7: 1, 0: 39, 1: 6, 8: 1, 6: 5, 2: 4, 9: 1, 10: 3, 3: 1, 4: 2, 11: 1, 5: 1}",13.08
103000,45,16,0.7676173448562622,0.23792649805545807,"{6: 2, 3: 3, 0: 2, 11: 1, 4: 2, 1: 4, 2: 19, 10: 1, 9: 2, 13: 3, 12: 1, 5: 1, 15: 1, 14: 1, 7: 1, 8: 1}",13.10
113000,33,14,0.8270615935325623,0.339639812707901,"{0: 4, 11: 1, 12: 1, 13: 1, 3: 4, 1: 11, 9: 1, 7: 1, 8: 3, 6: 1, 4: 2, 10: 1, 5: 1, 2: 1}",13.14
123000,37,14,0.8250989317893982,0.23871377110481262,"{0: 4, 1: 3, 11: 1, 12: 1, 4: 4, 2: 11, 5: 1, 10: 3, 9: 3, 3: 2, 13: 1, 7: 1, 6: 1, 8: 1}",13.09
133000,33,14,0.8111557960510254,0.16077855229377747,"{5: 3, 8: 1, 9: 1, 10: 1, 2: 2, 1: 11, 12: 1, 3: 5, 0: 3, 4: 1, 13: 1, 11: 1, 6: 1, 7: 1}",13.15
143000,29,11,0.8143355846405029,0.317722886800766,"{4: 3, 7: 1, 8: 1, 2: 4, 0: 10, 3: 1, 6: 3, 9: 1, 1: 3, 5: 1, 10: 1}",13.10
