checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,68,23,0.8189111948013306,0.012670961208641529,"{9: 23, 4: 5, 11: 1, 1: 2, 17: 1, 3: 3, 0: 5, 19: 1, 14: 1, 18: 1, 5: 2, 20: 1, 12: 8, 15: 1, 13: 1, 16: 1, 7: 3, 21: 1, 22: 1, 2: 2, 6: 2, 8: 1, 10: 1}",15.12
13000,31,13,0.881347119808197,0.23276327550411224,"{6: 2, 4: 3, 3: 3, 1: 2, 0: 7, 9: 1, 12: 1, 2: 7, 11: 1, 7: 1, 8: 1, 5: 1, 10: 1}",12.51
23000,20,9,0.887797474861145,0.18882860243320465,"{5: 3, 2: 4, 1: 2, 0: 3, 6: 3, 4: 2, 7: 1, 8: 1, 3: 1}",12.46
33000,20,7,0.8432931303977966,0.041406936943531036,"{0: 4, 3: 2, 1: 3, 6: 1, 5: 3, 2: 6, 4: 1}",12.55
43000,16,5,0.7920864224433899,0.15405859053134918,"{0: 6, 2: 3, 1: 3, 4: 1, 3: 3}",12.48
53000,16,5,0.789077639579773,0.15479601919651031,"{0: 6, 1: 3, 3: 3, 2: 3, 4: 1}",12.47
63000,9,2,0.5678346753120422,0.1970297396183014,"{0: 6, 1: 3}",12.49
73000,9,2,0.554706871509552,0.19919052720069885,"{0: 6, 1: 3}",12.47
83000,9,2,0.5485578775405884,0.19116145372390747,"{0: 6, 1: 3}",12.43
93000,6,1,0.22302989661693573,0.22302989661693573,{0: 6},12.43
103000,5,1,0.15347479283809662,0.15347479283809662,{0: 5},12.71
113000,8,2,0.5453209280967712,0.11388301849365234,"{0: 5, 1: 3}",12.39
123000,5,1,0.14646916091442108,0.14646916091442108,{0: 5},12.41
133000,3,1,5.960464477539063e-08,5.960464477539063e-08,{0: 3},12.45
143000,5,1,0.14448058605194092,0.14448058605194092,{0: 5},12.44
