checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,17,3,0.7755205631256104,0.6468559503555298,"{2: 6, 0: 10, 1: 1}",14.89
13000,77,7,0.6964647173881531,0.3087816834449768,"{6: 2, 0: 40, 2: 21, 5: 1, 1: 7, 4: 5, 3: 1}",12.47
23000,71,9,0.7666289210319519,0.40865448117256165,"{0: 17, 1: 3, 4: 26, 2: 2, 5: 1, 3: 14, 8: 2, 7: 1, 6: 5}",13.08
33000,100,11,0.8111145496368408,0.5915435552597046,"{1: 6, 4: 7, 0: 38, 6: 3, 10: 7, 3: 2, 8: 7, 7: 2, 9: 1, 2: 25, 5: 2}",12.90
43000,76,8,0.8064780235290527,0.640308141708374,"{3: 8, 1: 29, 2: 2, 6: 5, 0: 28, 7: 1, 4: 1, 5: 2}",13.17
53000,84,12,0.8137763142585754,0.6175082325935364,"{0: 35, 8: 2, 1: 4, 4: 25, 10: 1, 6: 2, 9: 2, 3: 4, 7: 1, 11: 1, 5: 2, 2: 5}",13.18
63000,100,12,0.799985408782959,0.6365673542022705,"{4: 3, 0: 54, 3: 17, 2: 4, 9: 7, 11: 1, 8: 2, 7: 2, 1: 7, 10: 1, 5: 1, 6: 1}",11.69
73000,100,14,0.8197959065437317,0.5989932417869568,"{8: 3, 4: 3, 10: 1, 2: 10, 9: 4, 6: 8, 3: 37, 1: 11, 0: 16, 12: 2, 11: 1, 7: 1, 13: 1, 5: 2}",12.66
83000,100,16,0.8252325057983398,0.6093804836273193,"{6: 2, 0: 3, 11: 2, 12: 10, 14: 3, 8: 10, 1: 3, 5: 39, 13: 1, 3: 2, 2: 3, 9: 7, 4: 12, 15: 1, 7: 1, 10: 1}",12.88
93000,83,14,0.8336460590362549,0.5688151717185974,"{1: 3, 0: 26, 5: 9, 8: 2, 12: 11, 9: 1, 7: 1, 10: 1, 13: 4, 6: 2, 2: 3, 3: 12, 4: 7, 11: 1}",13.36
103000,87,12,0.8055219054222107,0.5923364162445068,"{11: 1, 6: 11, 3: 3, 0: 3, 7: 8, 9: 39, 1: 7, 2: 2, 10: 2, 8: 8, 4: 2, 5: 1}",13.27
113000,71,12,0.8355736136436462,0.5437111854553223,"{1: 3, 3: 10, 6: 3, 9: 10, 0: 3, 4: 22, 8: 2, 5: 2, 10: 8, 7: 5, 2: 2, 11: 1}",13.19
123000,66,10,0.8078649640083313,0.5827788710594177,"{0: 29, 5: 6, 2: 4, 6: 11, 7: 1, 4: 2, 1: 5, 3: 4, 8: 3, 9: 1}",13.28
133000,60,9,0.8311566710472107,0.5575520396232605,"{1: 8, 0: 6, 7: 4, 3: 3, 5: 9, 8: 18, 6: 1, 2: 3, 4: 8}",13.39
143000,58,10,0.824526846408844,0.5444758534431458,"{1: 5, 0: 5, 6: 2, 7: 4, 5: 10, 4: 21, 2: 2, 8: 4, 9: 2, 3: 3}",13.28
