checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,7,0.7174666523933411,0.48144271969795227,"{0: 8, 1: 27, 2: 56, 4: 5, 5: 1, 6: 2, 3: 1}",14.34
13000,44,14,0.8567986488342285,0.3300884962081909,"{10: 5, 4: 11, 1: 3, 12: 1, 7: 1, 2: 2, 0: 3, 8: 1, 11: 4, 3: 1, 13: 1, 9: 1, 6: 1, 5: 9}",12.66
23000,31,14,0.8523086309432983,0.19897399842739105,"{2: 5, 0: 3, 11: 1, 4: 2, 13: 1, 10: 1, 12: 1, 8: 1, 1: 2, 7: 1, 9: 3, 5: 2, 6: 1, 3: 7}",12.92
33000,74,17,0.8460391759872437,0.3183597922325134,"{0: 19, 3: 10, 5: 3, 7: 2, 2: 4, 8: 4, 6: 6, 16: 1, 13: 1, 11: 1, 1: 2, 14: 1, 9: 3, 12: 6, 15: 8, 10: 1, 4: 2}",13.00
43000,100,14,0.8014386296272278,0.24538441002368927,"{6: 20, 12: 21, 8: 19, 2: 9, 0: 9, 13: 1, 4: 3, 3: 7, 11: 1, 1: 2, 7: 2, 5: 4, 10: 1, 9: 1}",11.97
53000,87,11,0.7659075260162354,0.3499879539012909,"{2: 29, 1: 21, 10: 15, 7: 1, 0: 3, 4: 3, 8: 4, 3: 2, 5: 2, 6: 2, 9: 5}",13.03
63000,84,14,0.8282161951065063,0.3038381040096283,"{5: 12, 7: 6, 11: 14, 4: 4, 2: 17, 13: 7, 6: 2, 3: 7, 1: 6, 8: 3, 12: 1, 0: 3, 9: 1, 10: 1}",13.07
73000,91,12,0.7657720446586609,0.18617764115333557,"{6: 1, 0: 6, 10: 27, 11: 2, 2: 17, 3: 8, 9: 5, 1: 6, 5: 15, 4: 2, 8: 1, 7: 1}",13.09
83000,72,13,0.8074578642845154,0.2909943461418152,"{0: 8, 6: 12, 2: 4, 7: 10, 9: 1, 8: 6, 11: 1, 3: 3, 1: 18, 5: 6, 10: 1, 4: 1, 12: 1}",13.08
93000,62,10,0.7973761558532715,0.2612328827381134,"{7: 9, 1: 4, 2: 14, 0: 17, 3: 5, 5: 5, 4: 5, 6: 1, 8: 1, 9: 1}",13.07
103000,54,11,0.761294960975647,0.1937146931886673,"{7: 1, 0: 17, 10: 1, 1: 6, 3: 5, 2: 15, 9: 3, 5: 2, 4: 2, 8: 1, 6: 1}",13.07
113000,53,9,0.7769624590873718,0.229741171002388,"{8: 2, 4: 4, 2: 15, 6: 15, 1: 5, 0: 8, 3: 2, 7: 1, 5: 1}",13.12
123000,46,9,0.7370602488517761,0.1404668241739273,"{5: 2, 3: 17, 0: 4, 7: 10, 1: 8, 8: 1, 2: 2, 6: 1, 4: 1}",13.11
133000,38,10,0.790601372718811,0.14722320437431335,"{0: 6, 2: 2, 8: 11, 1: 5, 6: 7, 3: 3, 9: 1, 7: 1, 4: 1, 5: 1}",13.07
143000,39,10,0.8090352416038513,0.27047452330589294,"{2: 9, 5: 2, 6: 12, 0: 6, 9: 1, 4: 3, 8: 1, 7: 1, 3: 1, 1: 3}",13.17
