checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,19,0.8071635365486145,0.03829268738627434,"{1: 12, 0: 5, 13: 1, 15: 1, 9: 11, 16: 1, 14: 1, 17: 1, 5: 2, 18: 13, 2: 2, 12: 30, 4: 2, 11: 9, 7: 3, 8: 2, 3: 2, 6: 1, 10: 1}",9.72
13000,100,15,0.7942842841148376,0.07289911806583405,"{1: 22, 0: 2, 2: 3, 5: 33, 8: 1, 4: 11, 12: 1, 14: 1, 11: 14, 10: 1, 6: 7, 9: 1, 7: 1, 3: 1, 13: 1}",9.92
23000,82,9,0.6546065211296082,0.011972292326390743,"{3: 43, 0: 6, 2: 12, 4: 1, 1: 5, 8: 1, 7: 4, 5: 5, 6: 5}",12.96
33000,63,3,0.1604824960231781,0.10741055011749268,"{0: 61, 2: 1, 1: 1}",12.48
43000,46,2,0.04063185676932335,2.384185791015625e-07,"{0: 45, 1: 1}",12.64
53000,62,2,0.13979054987430573,0.11330054700374603,"{0: 61, 1: 1}",12.65
63000,1,1,nan,nan,{0: 1},12.68
