checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,68,5,0.7152305245399475,0.5946656465530396,"{0: 48, 1: 14, 2: 4, 3: 1, 4: 1}",15.29
13000,94,14,0.8112726211547852,0.43735891580581665,"{8: 3, 0: 20, 13: 3, 11: 4, 6: 26, 12: 1, 1: 7, 4: 2, 7: 4, 10: 2, 2: 16, 5: 2, 3: 2, 9: 2}",12.54
23000,87,14,0.8464713096618652,0.5806025266647339,"{1: 19, 12: 8, 5: 4, 8: 18, 10: 4, 2: 14, 0: 4, 3: 3, 11: 1, 6: 2, 4: 3, 7: 5, 13: 1, 9: 1}",13.18
33000,81,18,0.8543754816055298,0.6506577134132385,"{0: 29, 4: 3, 9: 11, 16: 1, 13: 1, 1: 11, 2: 3, 15: 1, 10: 2, 11: 2, 3: 7, 14: 1, 5: 3, 7: 1, 12: 1, 8: 2, 17: 1, 6: 1}",13.10
43000,58,19,0.8593688011169434,0.6071178317070007,"{2: 19, 6: 3, 15: 1, 11: 1, 5: 3, 4: 6, 0: 7, 17: 1, 9: 2, 16: 1, 3: 3, 18: 1, 14: 2, 1: 2, 12: 2, 10: 1, 7: 1, 8: 1, 13: 1}",13.14
53000,58,20,0.882678747177124,0.6348531246185303,"{1: 15, 13: 4, 18: 1, 2: 5, 4: 2, 6: 5, 15: 1, 19: 1, 5: 3, 7: 3, 0: 2, 14: 1, 16: 1, 11: 3, 17: 1, 9: 3, 3: 2, 12: 2, 8: 2, 10: 1}",13.16
63000,43,16,0.8872636556625366,0.6607913970947266,"{4: 10, 5: 2, 11: 2, 10: 1, 2: 6, 15: 1, 1: 3, 8: 3, 3: 2, 12: 1, 14: 2, 6: 2, 9: 3, 0: 2, 13: 2, 7: 1}",13.15
73000,53,16,0.8706533312797546,0.6056016683578491,"{0: 17, 3: 2, 6: 2, 5: 5, 1: 2, 15: 1, 12: 1, 11: 3, 4: 7, 9: 1, 14: 1, 7: 4, 2: 3, 10: 1, 13: 1, 8: 2}",13.17
83000,38,15,0.8774037957191467,0.6350041031837463,"{2: 10, 6: 3, 14: 1, 1: 3, 10: 1, 4: 3, 12: 1, 11: 1, 0: 4, 5: 1, 8: 3, 3: 4, 13: 1, 9: 1, 7: 1}",13.24
93000,25,8,0.8304507732391357,0.6014492511749268,"{1: 12, 2: 2, 5: 1, 0: 3, 3: 2, 4: 2, 6: 1, 7: 2}",13.16
103000,15,7,0.8696600198745728,0.6994848251342773,"{5: 1, 6: 1, 1: 5, 0: 3, 4: 2, 2: 2, 3: 1}",13.19
113000,16,8,0.8644402623176575,0.6159307956695557,"{6: 1, 4: 2, 1: 6, 0: 2, 7: 1, 2: 2, 5: 1, 3: 1}",13.22
123000,13,4,0.8167891502380371,0.6347731947898865,"{3: 1, 0: 3, 1: 6, 2: 3}",13.15
133000,11,5,0.862809956073761,0.6342348456382751,"{3: 4, 0: 2, 1: 2, 4: 1, 2: 2}",13.31
143000,9,4,0.8681263327598572,0.6262015104293823,"{0: 3, 1: 2, 3: 2, 2: 2}",13.28
