checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,37,6,0.7867477536201477,0.5911771655082703,"{2: 11, 5: 3, 0: 17, 4: 2, 1: 3, 3: 1}",14.85
13000,12,3,0.7444580793380737,0.49527302384376526,"{0: 3, 1: 7, 2: 2}",12.08
23000,8,4,0.7421281933784485,0.4163931906223297,"{1: 2, 0: 4, 2: 1, 3: 1}",12.40
33000,7,3,0.74485182762146,0.43581482768058777,"{2: 2, 0: 4, 1: 1}",12.61
43000,14,3,0.6251393556594849,0.4500722885131836,"{1: 2, 0: 11, 2: 1}",12.60
53000,7,2,0.6168891191482544,0.4821758568286896,"{0: 6, 1: 1}",12.61
63000,9,3,0.6888509392738342,0.4077330529689789,"{1: 2, 0: 6, 2: 1}",12.68
73000,8,2,0.5547592043876648,0.42825978994369507,"{0: 7, 1: 1}",12.63
83000,4,1,0.42967531085014343,0.42967531085014343,{0: 4},12.65
93000,3,1,0.32408928871154785,0.32408928871154785,{0: 3},12.73
103000,2,1,0.0606379508972168,0.0606379508972168,{0: 2},12.66
113000,1,1,nan,nan,{0: 1},12.72
123000,1,1,nan,nan,{0: 1},12.69
133000,1,1,nan,nan,{0: 1},12.67
