checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,30,6,0.8243060111999512,0.5724180340766907,"{2: 6, 5: 10, 1: 7, 0: 2, 4: 1, 3: 4}",15.01
13000,76,9,0.800101101398468,0.6515150666236877,"{0: 22, 1: 31, 4: 6, 7: 1, 3: 5, 5: 4, 6: 1, 8: 3, 2: 3}",12.21
23000,36,6,0.817793607711792,0.6999401450157166,"{1: 14, 0: 12, 3: 4, 4: 3, 2: 2, 5: 1}",12.30
33000,10,3,0.765868067741394,0.48898088932037354,"{0: 5, 1: 4, 2: 1}",12.53
43000,5,3,0.8505098223686218,0.6807503700256348,"{0: 3, 2: 1, 1: 1}",12.69
53000,5,3,0.7771551012992859,0.4864644706249237,"{2: 1, 0: 3, 1: 1}",12.72
63000,3,1,0.5033312439918518,0.5033312439918518,{0: 3},12.64
73000,2,2,0.90859055519104,nan,"{1: 1, 0: 1}",12.63
83000,2,2,0.9472569823265076,nan,"{1: 1, 0: 1}",12.60
93000,1,1,nan,nan,{0: 1},12.64
