checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,73,9,0.799795925617218,0.692649781703949,"{8: 31, 7: 6, 0: 10, 2: 2, 1: 18, 4: 2, 3: 2, 6: 1, 5: 1}",15.12
13000,100,9,0.7606191039085388,0.7165320515632629,"{2: 84, 1: 4, 7: 1, 0: 2, 6: 2, 5: 2, 8: 2, 3: 2, 4: 1}",11.39
23000,28,4,0.749009370803833,0.6546253561973572,"{0: 9, 1: 17, 3: 1, 2: 1}",13.07
33000,33,7,0.779599666595459,0.5408791899681091,"{0: 10, 6: 1, 3: 1, 1: 6, 2: 13, 4: 1, 5: 1}",13.04
43000,15,5,0.7769529223442078,0.578269362449646,"{2: 8, 1: 3, 3: 1, 0: 2, 4: 1}",13.01
53000,8,2,0.5271955728530884,0.38782137632369995,"{0: 7, 1: 1}",13.28
63000,6,3,0.7175992727279663,0.4913521707057953,"{1: 1, 0: 4, 2: 1}",13.30
73000,6,3,0.7478563785552979,0.5510148406028748,"{0: 3, 2: 2, 1: 1}",13.20
83000,3,3,0.9403154253959656,nan,"{1: 1, 2: 1, 0: 1}",13.02
93000,3,2,0.7979192137718201,0.7025326490402222,"{0: 2, 1: 1}",13.57
103000,3,2,0.7853389382362366,0.7069417238235474,"{0: 2, 1: 1}",13.68
113000,2,2,0.9215158820152283,nan,"{1: 1, 0: 1}",13.31
123000,1,1,nan,nan,{0: 1},13.18
133000,1,1,nan,nan,{0: 1},13.31
143000,1,1,nan,nan,{0: 1},13.42
