checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,98,11,0.8484511375427246,0.6536242365837097,"{2: 16, 1: 10, 8: 10, 9: 28, 7: 5, 10: 4, 3: 5, 0: 8, 4: 8, 5: 1, 6: 3}",15.00
13000,64,21,0.8842083215713501,0.4903595447540283,"{2: 3, 11: 2, 1: 3, 16: 12, 15: 2, 0: 10, 10: 2, 5: 4, 3: 4, 9: 2, 12: 1, 19: 1, 7: 3, 17: 1, 8: 2, 4: 3, 13: 1, 6: 4, 18: 1, 14: 2, 20: 1}",12.85
23000,66,15,0.8719101548194885,0.6527498364448547,"{8: 6, 1: 17, 9: 5, 4: 7, 0: 2, 3: 11, 11: 1, 5: 3, 7: 4, 14: 1, 10: 1, 13: 1, 2: 4, 12: 1, 6: 2}",13.17
33000,51,12,0.8493250012397766,0.6428275108337402,"{4: 8, 10: 9, 0: 13, 3: 5, 5: 6, 9: 2, 8: 1, 1: 2, 11: 1, 7: 1, 2: 2, 6: 1}",13.17
43000,44,12,0.8566756248474121,0.6163477301597595,"{8: 3, 1: 8, 0: 12, 2: 3, 4: 2, 11: 2, 7: 5, 5: 3, 3: 2, 9: 1, 6: 2, 10: 1}",13.40
53000,40,8,0.8260716199874878,0.6256164908409119,"{0: 7, 4: 4, 2: 15, 6: 6, 1: 5, 7: 1, 3: 1, 5: 1}",13.26
63000,42,13,0.8513171672821045,0.5844169855117798,"{3: 10, 0: 7, 4: 5, 8: 1, 9: 4, 7: 4, 10: 2, 2: 2, 1: 2, 6: 1, 5: 2, 11: 1, 12: 1}",13.25
73000,34,7,0.8180078268051147,0.6143783926963806,"{1: 7, 2: 11, 0: 5, 4: 3, 6: 4, 3: 3, 5: 1}",13.27
83000,32,6,0.8079947829246521,0.6412444710731506,"{0: 7, 3: 5, 2: 11, 4: 4, 1: 2, 5: 3}",13.29
93000,29,5,0.8021666407585144,0.6915392875671387,"{1: 10, 0: 14, 4: 2, 2: 2, 3: 1}",13.36
103000,17,4,0.781601071357727,0.6737788319587708,"{2: 5, 0: 10, 3: 1, 1: 1}",13.28
113000,18,5,0.7917846441268921,0.664961576461792,"{0: 7, 1: 6, 4: 3, 2: 1, 3: 1}",13.38
123000,10,3,0.7344167828559875,0.5910167098045349,"{2: 4, 0: 5, 1: 1}",13.32
133000,10,4,0.7752248048782349,0.5685153603553772,"{1: 3, 2: 4, 0: 2, 3: 1}",13.28
143000,6,2,0.7205310463905334,0.6644216179847717,"{0: 5, 1: 1}",13.50
