checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,24,4,0.7757627964019775,0.6562732458114624,"{0: 18, 1: 4, 3: 1, 2: 1}",15.05
13000,24,4,0.5757936239242554,0.24156174063682556,"{2: 2, 0: 5, 1: 16, 3: 1}",12.08
23000,19,5,0.7947845458984375,0.6274773478507996,"{1: 11, 4: 2, 2: 1, 3: 1, 0: 4}",12.03
33000,18,6,0.7247115969657898,0.2183493673801422,"{0: 2, 4: 1, 1: 4, 2: 9, 5: 1, 3: 1}",12.69
43000,7,3,0.6730564832687378,0.18499170243740082,"{0: 2, 2: 4, 1: 1}",12.04
53000,5,3,0.7937836647033691,0.2287733256816864,"{0: 2, 2: 2, 1: 1}",12.34
63000,7,3,0.5666943788528442,0.17917673289775848,"{1: 1, 2: 1, 0: 5}",12.87
73000,8,2,0.5110631585121155,0.20929211378097534,"{0: 2, 1: 6}",13.53
83000,4,2,0.559009850025177,0.20544876158237457,"{0: 3, 1: 1}",13.45
93000,3,3,0.9196572303771973,nan,"{1: 1, 2: 1, 0: 1}",13.27
103000,3,2,0.6663675904273987,0.21161341667175293,"{1: 1, 0: 2}",13.82
113000,1,1,nan,nan,{0: 1},12.75
123000,1,1,nan,nan,{0: 1},12.81
133000,1,1,nan,nan,{0: 1},13.14
143000,1,1,nan,nan,{0: 1},13.29
